id,datetime,delta_days,coverage_fraction,coverage_percent,cloud_cover,folha_codigo
AST_L1T_00306012006141203_20150514154927,2006-06-01T14:12:03.804000+00:00,775,1.0,100.0,42.0,SB21_ZA_II2_NW
AST_L1T_00310202005141145_20150511152438,2005-10-20T14:11:45.205000+00:00,999,1.0,100.0,11.0,SB21_ZA_II2_NW
AST_L1T_00308172005141156_20150510193125,2005-08-17T14:11:56.925000+00:00,1063,1.0,100.0,89.0,SB21_ZA_II2_NW
AST_L1T_00308012005141202_20150510135953,2005-08-01T14:12:02.298000+00:00,1079,0.9312339486728586,93.12339486728585,1.0,SB21_ZA_II2_NW
AST_L1T_00305132005141212_20150509113333,2005-05-13T14:12:12.600000+00:00,1159,1.0,100.0,15.0,SB21_ZA_II2_NW
AST_L1T_00305062005140613_20150509091442,2005-05-06T14:06:13.845000+00:00,1166,1.0,100.0,100.0,SB21_ZA_II2_NW
AST_L1T_00303192005140605_20150508175937,2005-03-19T14:06:05.166000+00:00,1214,1.0,100.0,100.0,SB21_ZA_II2_NW
AST_L1T_00311112004140525_20150507003303,2004-11-11T14:05:25.187000+00:00,1342,1.0,100.0,62.0,SB21_ZA_II2_NW
AST_L1T_00307292004141220_20150505110335,2004-07-29T14:12:20.641000+00:00,1447,1.0,100.0,0.0,SB21_ZA_II2_NW
AST_L1T_00307062004140621_20150505031111,2004-07-06T14:06:21.766000+00:00,1470,1.0,100.0,25.0,SB21_ZA_II2_NW
AST_L1T_00308122003141151_20150430114315,2003-08-12T14:11:51.792000+00:00,1799,1.0,100.0,99.0,SB21_ZA_II2_NW
AST_L1T_00306092003141257_20150429040027,2003-06-09T14:12:57.173000+00:00,1863,1.0,100.0,59.0,SB21_ZA_II2_NW
AST_L1T_00305242003141302_20150429141149,2003-05-24T14:13:02.111000+00:00,1879,1.0,100.0,12.0,SB21_ZA_II2_NW
AST_L1T_00304062003141321_20150427220611,2003-04-06T14:13:21.485000+00:00,1927,0.9825951559056099,98.25951559056098,100.0,SB21_ZA_II2_NW
AST_L1T_00312242002140756_20150426121952,2002-12-24T14:07:56.554000+00:00,2030,1.0,100.0,62.0,SB21_ZA_II2_NW
AST_L1T_00311062002140740_20150427031900,2002-11-06T14:07:40.853000+00:00,2078,1.0,100.0,100.0,SB21_ZA_II2_NW
AST_L1T_00303182002141401_20150421215320,2002-03-18T14:14:01.921000+00:00,2311,0.8720392046765587,87.20392046765588,78.0,SB21_ZA_II2_NW
AST_L1T_00301292002141501_20150421100445,2002-01-29T14:15:01.899000+00:00,2359,1.0,100.0,91.0,SB21_ZA_II2_NW
AST_L1T_00310092001141822_20150420065740,2001-10-09T14:18:22.013000+00:00,2471,1.0,100.0,52.0,SB21_ZA_II2_NW
AST_L1T_00308312001141339_20150419052608,2001-08-31T14:13:39.180000+00:00,2510,1.0,100.0,100.0,SB21_ZA_II2_NW
AST_L1T_00307142001141443_20150418112215,2001-07-14T14:14:43.223000+00:00,2558,1.0,100.0,3.0,SB21_ZA_II2_NW
AST_L1T_00302272001142405_20150415010635,2001-02-27T14:24:05.592000+00:00,2695,1.0,100.0,100.0,SB21_ZA_II2_NW
AST_L1T_00301262001142438_20150414135227,2001-01-26T14:24:38.678000+00:00,2727,1.0,100.0,89.0,SB21_ZA_II2_NW
AST_L1T_00309202000142721_20150411205423,2000-09-20T14:27:21.131000+00:00,2855,0.8865787318992073,88.65787318992074,68.0,SB21_ZA_II2_NW
