id,datetime,delta_days,coverage_fraction,coverage_percent,cloud_cover,folha_codigo
S2A_MSIL2A_20170609T141051_R110_T21MWP_20210209T214220,2017-06-09T14:10:51.026000+00:00,4026,1.0,100.0,0.073414,SB21_ZA_II1_NE
S2A_MSIL2A_20170719T141051_R110_T21MWP_20210210T111257,2017-07-19T14:10:51.026000+00:00,4066,1.0,100.0,0.118958,SB21_ZA_II1_NE
S2B_MSIL2A_20170803T141049_R110_T21MWP_20210210T190411,2017-08-03T14:10:49.027000+00:00,4081,1.0,100.0,0.135351,SB21_ZA_II1_NE
S2A_MSIL2A_20170808T141051_R110_T21MWP_20210210T213141,2017-08-08T14:10:51.026000+00:00,4086,1.0,100.0,0.787997,SB21_ZA_II1_NE
S2A_MSIL2A_20180604T141051_R110_T21MWP_20201026T150718,2018-06-04T14:10:51.024000+00:00,4386,1.0,100.0,0.472265,SB21_ZA_II1_NE
S2A_MSIL2A_20180614T141051_R110_T21MWP_20201027T004304,2018-06-14T14:10:51.024000+00:00,4396,1.0,100.0,0.109621,SB21_ZA_II1_NE
S2B_MSIL2A_20180709T141049_R110_T21MWP_20201011T135558,2018-07-09T14:10:49.024000+00:00,4421,1.0,100.0,0.977605,SB21_ZA_II1_NE
S2B_MSIL2A_20180719T141049_R110_T21MWP_20201011T174327,2018-07-19T14:10:49.024000+00:00,4431,1.0,100.0,0.097857,SB21_ZA_II1_NE
S2A_MSIL2A_20190619T141051_R110_T21MWP_20201006T040619,2019-06-19T14:10:51.024000+00:00,4766,1.0,100.0,0.748428,SB21_ZA_II1_NE
S2B_MSIL2A_20190624T141059_R110_T21MWP_20201006T055710,2019-06-24T14:10:59.024000+00:00,4771,1.0,100.0,0.088915,SB21_ZA_II1_NE
S2A_MSIL2A_20190629T141051_R110_T21MWP_20201006T074913,2019-06-29T14:10:51.024000+00:00,4776,1.0,100.0,0.104266,SB21_ZA_II1_NE
S2A_MSIL2A_20190729T141051_R110_T21MWP_20201109T155103,2019-07-29T14:10:51.024000+00:00,4806,1.0,100.0,0.599633,SB21_ZA_II1_NE
S2A_MSIL2A_20190808T141051_R110_T21MWP_20201004T215253,2019-08-08T14:10:51.024000+00:00,4816,1.0,100.0,0.117518,SB21_ZA_II1_NE
S2A_MSIL2A_20190818T141051_R110_T21MWP_20201005T015042,2019-08-18T14:10:51.024000+00:00,4826,1.0,100.0,0.150846,SB21_ZA_II1_NE
S2A_MSIL2A_20190828T141051_R110_T21MWP_20201005T055529,2019-08-28T14:10:51.024000+00:00,4836,1.0,100.0,0.174674,SB21_ZA_II1_NE
S2B_MSIL2A_20190912T141049_R110_T21MWP_20201004T122625,2019-09-12T14:10:49.024000+00:00,4851,1.0,100.0,0.304156,SB21_ZA_II1_NE
S2B_MSIL2A_20200608T141049_R110_T21MWP_20200826T160302,2020-06-08T14:10:49.024000+00:00,5121,1.0,100.0,0.416273,SB21_ZA_II1_NE
