id,datetime,delta_days,meta_cloud,scl_nodata_frac,scl_cloud_frac
S2A_MSIL2A_20180704T141051_R110_T21MWP_20201011T115058,2018-07-04T14:10:51.024000+00:00,3641,3.840306,0.003417744747224516,4.1705244017382745e-05
S2B_MSIL2A_20180719T141049_R110_T21MWP_20201011T174327,2018-07-19T14:10:49.024000+00:00,3656,0.097857,0.003417744747224516,7.715470143215808e-05
S2B_MSIL2A_20190912T141049_R110_T21MWP_20201004T122625,2019-09-12T14:10:49.024000+00:00,4076,0.304156,0.003417744747224516,9.800732344084945e-05
S2B_MSIL2A_20190724T141059_R110_T21MWP_20201005T191203,2019-07-24T14:10:59.024000+00:00,4026,1.432805,0.003417744747224516,0.00010843363444519513
S2A_MSIL2A_20190828T141051_R110_T21MWP_20201005T055529,2019-08-28T14:10:51.024000+00:00,4061,0.174674,0.003417744747224516,0.00017724728707387667
S2A_MSIL2A_20190629T141051_R110_T21MWP_20201006T074913,2019-06-29T14:10:51.024000+00:00,4001,0.104266,0.003417744747224516,0.0001855883358773532
S2A_MSIL2A_20190818T141051_R110_T21MWP_20201005T015042,2019-08-18T14:10:51.024000+00:00,4051,0.150846,0.003417744747224516,0.00023771989089908164
S2A_MSIL2A_20180614T141051_R110_T21MWP_20201027T004304,2018-06-14T14:10:51.024000+00:00,3621,0.109621,0.003417744747224516,0.00025648725070690387
S2A_MSIL2A_20190729T141051_R110_T21MWP_20201109T155103,2019-07-29T14:10:51.024000+00:00,4031,0.599633,0.003417744747224516,0.0002898514459208101
S2A_MSIL2A_20190808T141051_R110_T21MWP_20201004T215253,2019-08-08T14:10:51.024000+00:00,4041,0.117518,0.003417744747224516,0.0003294714277373237
S2A_MSIL2A_20170609T141051_R110_T21MWP_20210209T214220,2017-06-09T14:10:51.026000+00:00,3251,0.073414,0.003417744747224516,0.00041496717797295834
S2B_MSIL2A_20170803T141049_R110_T21MWP_20210210T190411,2017-08-03T14:10:49.027000+00:00,3306,0.135351,0.003417744747224516,0.0005046334526103313
S2A_MSIL2A_20170719T141051_R110_T21MWP_20210210T111257,2017-07-19T14:10:51.026000+00:00,3291,0.118958,0.003417744747224516,0.0005359123856233682
S2B_MSIL2A_20180709T141049_R110_T21MWP_20201011T135558,2018-07-09T14:10:49.024000+00:00,3646,0.977605,0.003417744747224516,0.0008278490937450475
S2B_MSIL2A_20190624T141059_R110_T21MWP_20201006T055710,2019-06-24T14:10:59.024000+00:00,3996,0.088915,0.003417744747224516,0.0009487943013954575
S2A_MSIL2A_20180724T141051_R110_T21MWP_20201011T192708,2018-07-24T14:10:51.024000+00:00,3661,1.235941,0.003417744747224516,0.0012261341741110527
S2A_MSIL2A_20180604T141051_R110_T21MWP_20201026T150718,2018-06-04T14:10:51.024000+00:00,3611,0.472265,0.003417744747224516,0.001259498369324959
S2A_MSIL2A_20160724T141052_R110_T21MWP_20210212T073816,2016-07-24T14:10:52.026000+00:00,2931,3.156496,0.003417744747224516,0.0029110260324133157
S2A_MSIL2A_20170808T141051_R110_T21MWP_20210210T213141,2017-08-08T14:10:51.026000+00:00,3311,0.787997,0.003417744747224516,0.005780346820809248
S2B_MSIL2A_20180729T141049_R110_T21MWP_20201011T212958,2018-07-29T14:10:49.024000+00:00,3666,2.559171,0.003417744747224516,0.01249489110760787
S2B_MSIL2A_20181017T141049_R110_T21MWP_20201009T123710,2018-10-17T14:10:49.024000+00:00,3746,1.403947,0.003417744747224516,0.01447797546063442
S2B_MSIL2A_20191002T141049_R110_T21MWP_20201003T215352,2019-10-02T14:10:49.024000+00:00,4096,3.277408,0.003417744747224516,0.01709080899832345
S2A_MSIL2A_20180624T141051_R110_T21MWP_20201012T015016,2018-06-24T14:10:51.024000+00:00,3631,2.130272,0.003417744747224516,0.029842187356638225
S2A_MSIL2A_20190619T141051_R110_T21MWP_20201006T040619,2019-06-19T14:10:51.024000+00:00,3991,0.748428,0.003417744747224516,0.04843647040178832
S2B_MSIL2A_20190714T141059_R110_T21MWP_20201005T140756,2019-07-14T14:10:59.024000+00:00,4016,1.164595,0.003417744747224516,0.05462552861396792
