Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
 May. 9 2015                  TERRA_ASTER                       Time: 16:34
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.832 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  1.7%
Rank   3 --  4.2%
Rank   4 --  3.4%
Rank   5 -- 90.7%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640648   -5.68327    -56.16359    -8.12    -17.41    19.21     5 
2280640689   -5.69234    -56.49517    -3.38    -13.15    13.58     5 
2280640840   -5.70970    -56.48541     0.92     13.67    13.70     5 
2280640842   -5.70968    -56.46590   -11.46      2.76    11.79     5 
2280640928   -5.71826    -56.35860     3.85      8.51     9.34     5 
2280640932   -5.71821    -56.31959   -11.06      5.52    12.36     5 
2280641002   -5.72695    -56.36835    -0.10      2.67     2.67     4 
2280641077   -5.73564    -56.36834     0.55      3.35     3.40     5 
2280641118   -5.73506    -55.96846   -11.93     -1.51    12.02     5 
2280641143   -5.74441    -56.45611   -12.79     14.15    19.07     5 
2280641410   -5.76992    -56.04642    -5.03     16.52    17.27     5 
2280641411   -5.76991    -56.03667    -0.80     15.47    15.49     5 
2280641485   -5.77861    -56.04641    -5.64     16.27    17.22     5 
2280641536   -5.78764    -56.28049    -1.22      0.65     1.39     3 
2280641538   -5.78761    -56.26098    15.57     -1.60    15.65     5 
2280641548   -5.78748    -56.16344     2.40      6.89     7.29     5 
2280641613   -5.79629    -56.26097    16.23     -1.37    16.29     5 
2280641614   -5.79628    -56.25122    14.42     -4.59    15.13     5 
2280641698   -5.80484    -56.16342    -2.02    -19.64    19.74     5 
2280641699   -5.80483    -56.15366     4.11     -7.49     8.54     5 
2280641705   -5.80474    -56.09514    11.48     14.24    18.29     5 
2280641774   -5.81351    -56.15365     4.96     -7.23     8.77     5 
2280641849   -5.82220    -56.15364     6.64     -5.40     8.56     5 
2280641969   -5.83993    -56.44627   -12.49      3.87    13.08     5 
2280642004   -5.83949    -56.10484    11.40     13.70    17.82     5 
2280642090   -5.84799    -55.99752   -16.09      6.00    17.18     5 
2280642092   -5.84795    -55.97801   -15.27     -9.96    18.23     5 
2280642093   -5.84794    -55.96825   -11.17    -10.77    15.52     5 
2280642159   -5.85677    -56.05603     7.60      3.87     8.53     5 
2280642160   -5.85676    -56.04628     8.94      1.38     9.04     5 
2280642167   -5.85664    -55.97799   -14.50     -9.35    17.26     5 
2280642168   -5.85662    -55.96824   -12.04    -11.04    16.33     5 
2280642230   -5.86552    -56.09504    18.18     -2.45    18.34     5 
2280642235   -5.86544    -56.04626     0.87      2.42     2.57     4 
2280642243   -5.86530    -55.96822   -17.98     -5.73    18.87     5 
2280642264   -5.87471    -56.49501     8.21    -16.34    18.29     5 
2280642346   -5.88333    -56.42671   -14.92     -6.90    16.44     5 
2280642379   -5.88291    -56.10477    12.76    -14.25    19.13     5 
2280642387   -5.88277    -56.02672    12.15     14.01    18.54     5 
2280642585   -5.90922    -56.29009   -10.56      5.01    11.69     5 
2280642646   -5.91807    -56.42668     2.39     15.39    15.57     5 
2280642660   -5.91791    -56.29008    11.56      5.21    12.68     5 
2280642691   -5.91744    -55.98764   -13.51      9.72    16.64     5 
2280642721   -5.92675    -56.42667    -0.89     15.04    15.07     5 
2280642810   -5.93527    -56.29006    16.78      2.36    16.95     5 
2280642833   -5.93494    -56.06566   -10.99     -9.36    14.43     5 
2280642839   -5.93484    -56.00712    18.90      4.38    19.40     5 
