Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Wed. Apr. 29 2015                  TERRA_ASTER                       Time: 19:12
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.718 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  8.6%
Rank   2 -- 14.1%
Rank   3 -- 11.7%
Rank   4 --  1.6%
Rank   5 -- 64.1%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640705   -5.73330    -56.05136    -0.19      0.05     0.19     1 
2280640794   -5.74174    -55.91481   -15.49     -9.96    18.41     5 
2280640991   -5.76825    -56.18785    -0.13     -0.03     0.13     1 
2280641065   -5.77694    -56.19759    -0.44      0.01     0.44     1 
2280641153   -5.78543    -56.07078    19.72     -1.87    19.81     5 
2280641157   -5.78537    -56.03177    18.22     -1.06    18.25     5 
2280641158   -5.78535    -56.02201    18.34     -4.52    18.89     5 
2280641173   -5.78508    -55.87571   -19.17      1.00    19.20     5 
2280641174   -5.78506    -55.86596     4.85     17.69    18.34     5 
2280641175   -5.78504    -55.85621     4.01     16.70    17.17     5 
2280641317   -5.80256    -55.93420    -0.13      0.22     0.25     1 
2280641318   -5.80254    -55.92445     0.06      0.17     0.18     1 
2280641339   -5.80211    -55.71963    15.74      0.42    15.75     5 
2280641413   -5.81082    -55.72936    18.09      7.20    19.47     5 
2280641414   -5.81080    -55.71961    13.65      1.91    13.78     5 
2280641489   -5.81948    -55.71959    -0.49      0.50     0.70     2 
2280641532   -5.82878    -56.03169   -10.10    -17.18    19.93     5 
2280641552   -5.82841    -55.83661    -8.44     12.62    15.18     5 
2280641639   -5.83684    -55.71955     3.07      3.20     4.43     5 
2280641746   -5.85501    -56.13895    -0.93     -0.09     0.94     2 
2280641747   -5.85499    -56.12920    -0.96     -0.10     0.96     2 
2280641775   -5.85450    -55.85607   -11.37    -11.75    16.35     5 
2280641776   -5.85448    -55.84631   -10.28    -13.06    16.62     5 
2280641782   -5.85436    -55.78779     9.44      1.98     9.65     5 
2280641822   -5.86368    -56.12918    -0.50      0.21     0.54     2 
2280641823   -5.86366    -56.11943    -0.39     -0.10     0.40     1 
2280641839   -5.86339    -55.96335    13.80     -9.46    16.73     5 
2280641857   -5.86304    -55.78777    11.40      2.40    11.65     5 
2280641915   -5.87206    -55.95358    13.87    -12.00    18.34     5 
2280641972   -5.88104    -56.12916    -0.48     -0.01     0.48     1 
2280642077   -5.88919    -55.83649     8.20     -3.94     9.10     5 
2280642083   -5.88907    -55.77796    -6.00     -2.33     6.43     5 
2280642113   -5.89854    -56.21693    -8.23     11.10    13.81     5 
2280642114   -5.89853    -56.20718    -8.20     12.33    14.81     5 
2280642137   -5.89816    -55.98280     6.10     14.30    15.54     5 
2280642158   -5.89775    -55.77794    -5.79     -9.14    10.82     5 
2280642263   -5.91591    -56.21691    13.37      9.52    16.41     5 
2280642264   -5.91589    -56.20715    12.54      8.63    15.22     5 
2280642272   -5.91578    -56.12910     2.08     13.97    14.12     5 
2280642289   -5.91549    -55.96325   -11.85      6.60    13.57     5 
2280642290   -5.91547    -55.95350   -13.71     10.01    16.98     5 
2280642338   -5.92459    -56.21690    12.98     11.61    17.41     5 
2280642339   -5.92458    -56.20714    12.66      9.93    16.09     5 
2280642364   -5.92418    -55.96324    -2.84      2.37     3.69     5 
2280642365   -5.92416    -55.95348   -13.91      9.59    16.89     5 
2280642453   -5.93259    -55.82664    -1.04     -0.11     1.04     3 
2280642521   -5.94141    -55.89491   -14.52     10.82    18.11     5 
