Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. May. 10 2015                  TERRA_ASTER                       Time: 19:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.729 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 -- 69.2%
Rank   3 -- 30.8%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640168   -5.67915    -56.12703     0.25     -0.86     0.90     2 
2280640169   -5.67913    -56.11728    -0.04     -0.89     0.89     2 
2280640244   -5.68782    -56.11726    -0.09     -0.92     0.93     2 
2280640245   -5.68780    -56.10751    -0.20     -0.98     1.00     2 
2280640249   -5.68774    -56.06850     0.47     -0.89     1.01     3 
2280640250   -5.68772    -56.05875     0.21     -0.92     0.94     2 
2280640316   -5.69655    -56.14651     0.21     -0.92     0.95     2 
2280640319   -5.69650    -56.11725     0.07     -0.94     0.94     2 
2280640320   -5.69649    -56.10750    -0.11     -0.96     0.97     2 
2280640321   -5.69647    -56.09775    -0.29     -0.94     0.98     2 
2280640325   -5.69641    -56.05874     0.26     -0.93     0.97     2 
2280640326   -5.69639    -56.04898     0.20     -0.90     0.92     2 
2280640327   -5.69638    -56.03923     0.41     -0.86     0.95     2 
2280640328   -5.69636    -56.02948     0.41     -0.83     0.92     2 
2280640329   -5.69634    -56.01973     0.18     -0.87     0.88     2 
2280640330   -5.69633    -56.00997     0.14     -0.89     0.91     2 
2280640331   -5.69631    -56.00022     0.14     -0.89     0.90     2 
2280640391   -5.70523    -56.14649     0.27     -0.95     0.99     2 
2280640392   -5.70521    -56.13674     0.32     -0.97     1.02     3 
2280640393   -5.70520    -56.12699     0.22     -0.99     1.01     3 
2280640394   -5.70518    -56.11724     0.16     -0.97     0.98     2 
2280640395   -5.70517    -56.10748     0.20     -0.93     0.95     2 
2280640396   -5.70515    -56.09773    -0.24     -0.95     0.98     2 
2280640397   -5.70514    -56.08798    -0.37     -1.03     1.10     3 
2280640398   -5.70512    -56.07823    -0.08     -1.02     1.02     3 
2280640399   -5.70511    -56.06847     0.39     -0.89     0.97     2 
2280640400   -5.70509    -56.05872     0.33     -0.92     0.97     2 
2280640401   -5.70507    -56.04897     0.26     -0.90     0.93     2 
2280640402   -5.70506    -56.03922     0.37     -0.86     0.94     2 
2280640403   -5.70504    -56.02947     0.37     -0.82     0.90     2 
2280640404   -5.70503    -56.01971     0.27     -0.88     0.92     2 
2280640405   -5.70501    -56.00996     0.23     -0.86     0.89     2 
2280640406   -5.70499    -56.00021     0.20     -0.87     0.89     2 
2280640407   -5.70498    -55.99046     0.18     -0.84     0.85     2 
2280640411   -5.70491    -55.95145     0.28     -0.80     0.84     2 
2280640412   -5.70489    -55.94170     0.31     -0.79     0.84     2 
2280640468   -5.71388    -56.12698     0.24     -0.92     0.95     2 
2280640469   -5.71387    -56.11722     0.23     -0.95     0.98     2 
2280640470   -5.71385    -56.10747     0.18     -0.98     0.99     2 
2280640471   -5.71384    -56.09772     0.16     -0.96     0.97     2 
2280640472   -5.71382    -56.08796     0.06     -0.96     0.96     2 
2280640473   -5.71381    -56.07821    -0.09     -1.00     1.00     3 
2280640474   -5.71379    -56.06846    -0.13     -0.98     0.99     2 
2280640475   -5.71378    -56.05871     0.01     -0.97     0.97     2 
2280640476   -5.71376    -56.04895     0.22     -0.89     0.92     2 
2280640477   -5.71374    -56.03920     0.17     -0.88     0.89     2 
