Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 12 2015                  TERRA_ASTER                       Time: 01:55
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.823 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  2.6%
Rank   3 -- 22.8%
Rank   4 --  7.9%
Rank   5 -- 66.7%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640392   -5.63571    -56.61225   -10.70     15.32    18.68     5 
2280640473   -5.64436    -56.55373    -0.64    -17.16    17.17     5 
2280640478   -5.64432    -56.50497    -0.99      8.88     8.94     5 
2280640915   -5.69652    -56.63172    -8.77      5.97    10.61     5 
2280640991   -5.70519    -56.62196    -2.28     16.62    16.78     5 
2280641066   -5.71388    -56.62195    -2.73     16.82    17.04     5 
2280641139   -5.72258    -56.64145    -9.53     11.50    14.93     5 
2280641215   -5.73125    -56.63169   -10.51     10.53    14.88     5 
2280641290   -5.73994    -56.63169    -9.23     16.11    18.57     5 
2280641301   -5.73986    -56.52439    13.50    -11.56    17.77     5 
2280641302   -5.73985    -56.51464    10.59    -10.34    14.80     5 
2280641390   -5.74841    -56.38783    -1.38     -0.74     1.57     3 
2280641462   -5.75713    -56.41709    -0.73     -0.65     0.98     2 
2280641466   -5.75709    -56.37807    -1.48     -0.80     1.68     3 
2280641514   -5.76600    -56.64143     9.53    -10.94    14.52     5 
2280641515   -5.76599    -56.63167     9.07    -11.41    14.58     5 
2280641522   -5.76594    -56.56339    17.93     -0.64    17.94     5 
2280641537   -5.76581    -56.41708    -0.39     -0.87     0.95     2 
2280641541   -5.76577    -56.37806    -1.60     -0.75     1.76     3 
2280641542   -5.76576    -56.36830    -1.41     -0.64     1.54     3 
2280641617   -5.77444    -56.36830    -1.38     -0.57     1.50     3 
2280641665   -5.78336    -56.63166    -7.67     13.34    15.38     5 
2280641672   -5.78331    -56.56338   -12.27    -14.29    18.83     5 
2280641742   -5.79203    -56.61214     5.92     -8.48    10.34     5 
2280641747   -5.79200    -56.56337   -12.77    -12.78    18.07     5 
2280641816   -5.80072    -56.62189     3.82     -5.50     6.70     5 
2280641817   -5.80072    -56.61214     5.91     -8.38    10.25     5 
2280641821   -5.80069    -56.57312    18.18     -5.84    19.09     5 
2280642080   -5.82639    -56.24142     3.22     10.31    10.80     5 
2280642110   -5.83550    -56.68041     2.06      0.69     2.17     4 
2280642720   -5.90491    -56.58280    -1.36     -0.82     1.59     3 
2280642735   -5.90478    -56.43644    15.55      3.76    15.99     5 
2280642795   -5.91359    -56.58279    -1.30     -1.09     1.70     3 
2280642796   -5.91358    -56.57303    -1.47     -1.15     1.86     3 
2280642797   -5.91357    -56.56328    -1.53     -0.99     1.82     3 
2280642798   -5.91357    -56.55352    -1.59     -0.78     1.77     3 
2280642869   -5.92228    -56.59254    -1.11      2.29     2.54     4 
2280642870   -5.92227    -56.58278    -1.41      1.88     2.35     4 
2280642872   -5.92226    -56.56327    -1.46     -0.90     1.72     3 
2280642873   -5.92225    -56.55351    -1.50     -1.13     1.88     3 
2280642944   -5.93097    -56.59253    -2.63      1.71     3.14     5 
2280642945   -5.93096    -56.58278    -3.17      1.76     3.62     5 
2280642946   -5.93095    -56.57302    -1.58     -0.82     1.78     3 
2280642947   -5.93094    -56.56326    -1.47     -0.87     1.70     3 
2280642948   -5.93094    -56.55351    -1.56     -1.05     1.88     3 
2280642949   -5.93093    -56.54375    -1.67     -0.93     1.92     3 
