Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Mon. Apr. 20 2015                  TERRA_ASTER                       Time: 11:58
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.738 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 13.8%
Rank   2 -- 30.2%
Rank   3 --  2.6%
Rank   4 --  0.0%
Rank   5 -- 53.4%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640326   -5.68834    -56.10182    -0.63     -0.26     0.68     2 
2280640395   -5.69711    -56.16032   -12.62     -8.21    15.06     5 
2280640495   -5.70538    -55.91650    17.46      3.68    17.84     5 
2280640508   -5.70513    -55.78973     7.90      3.33     8.57     5 
2280640661   -5.72243    -55.76044   -14.09     -2.20    14.26     5 
2280640695   -5.73184    -56.16027    10.06      6.41    11.93     5 
2280640734   -5.73116    -55.77992    -2.55    -12.28    12.54     5 
2280640770   -5.74053    -56.16026    10.18      6.25    11.95     5 
2280640771   -5.74051    -56.15051   -16.64     -0.26    16.64     5 
2280640772   -5.74050    -56.14075   -12.96      1.65    13.06     5 
2280640807   -5.73988    -55.79941    -0.36     13.03    13.03     5 
2280640817   -5.73967    -55.70189    19.31      2.02    19.41     5 
2280640847   -5.74918    -56.14074   -12.99      1.90    13.13     5 
2280640868   -5.74883    -55.93592    -2.22    -13.27    13.45     5 
2280640869   -5.74882    -55.92617    -2.09    -14.51    14.66     5 
2280640887   -5.74846    -55.75063   -16.47      6.03    17.54     5 
2280640943   -5.75752    -55.93591    -4.29    -16.26    16.82     5 
2280641007   -5.76639    -56.04318    19.67      3.40    19.96     5 
2280641257   -5.79198    -55.79930    -0.16     -0.04     0.16     1 
2280641258   -5.79196    -55.78955    -0.41      0.03     0.41     1 
2280641259   -5.79194    -55.77979    -0.81      0.03     0.81     2 
2280641260   -5.79192    -55.77004    -0.76     -0.07     0.77     2 
2280641261   -5.79189    -55.76029    -0.48      0.40     0.62     2 
2280641332   -5.80066    -55.79928    -0.28     -0.02     0.28     1 
2280641333   -5.80064    -55.78953    -0.73     -0.00     0.73     2 
2280641334   -5.80062    -55.77977    -0.81     -0.12     0.82     2 
2280641335   -5.80060    -55.77002    -0.79     -0.17     0.81     2 
2280641336   -5.80058    -55.76027    -0.63     -0.04     0.63     2 
2280641337   -5.80056    -55.75052    -0.38     -0.10     0.39     1 
2280641408   -5.80932    -55.78951    -1.05      0.17     1.07     3 
2280641411   -5.80926    -55.76025    -0.43     -0.07     0.43     1 
2280641412   -5.80924    -55.75050    -0.33     -0.04     0.33     1 
2280641413   -5.80922    -55.74074    -0.17     -0.61     0.63     2 
2280641486   -5.81794    -55.76023    -0.39     -0.07     0.39     1 
2280641487   -5.81792    -55.75048    -1.03     -0.06     1.03     3 
2280641566   -5.82651    -55.71144    -0.31     -0.42     0.52     2 
2280641638   -5.83526    -55.74068    -0.42     -0.70     0.81     2 
2280641640   -5.83522    -55.72118    -0.29      0.05     0.30     1 
2280641641   -5.83520    -55.71142    -0.67      0.06     0.67     2 
2280641672   -5.84470    -56.14059    -0.66     -0.41     0.78     2 
2280641689   -5.84442    -55.97476   -13.07     13.07    18.48     5 
2280641747   -5.85338    -56.14058    -0.61     -0.36     0.71     2 
2280641748   -5.85337    -56.13083    -0.68     -0.46     0.82     2 
2280641823   -5.86205    -56.13081    -0.69     -0.43     0.81     2 
2280641919   -5.87038    -55.92594     0.75    -19.24    19.25     5 
2280641994   -5.87906    -55.92593    -8.30    -13.23    15.62     5 
