Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 26 2015                  TERRA_ASTER                       Time: 00:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.718 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  0.0%
Rank   3 --  9.6%
Rank   4 --  5.1%
Rank   5 -- 85.3%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640316   -5.70137    -56.10993    -1.11     -1.21     1.65     3 
2280640391   -5.71006    -56.10991    -1.16     -1.13     1.62     3 
2280640489   -5.71835    -55.88560   -18.28      1.23    18.32     5 
2280640641   -5.73568    -55.86606     8.08     14.51    16.61     5 
2280640647   -5.73556    -55.80754   -17.46      1.34    17.51     5 
2280640652   -5.73545    -55.75878   -18.36     -3.34    18.66     5 
2280640691   -5.74479    -56.10986    -1.04    -11.61    11.66     5 
2280640728   -5.74411    -55.74901     9.30     17.46    19.79     5 
2280640766   -5.75347    -56.10985    -0.88    -11.70    11.74     5 
2280640844   -5.76211    -56.08057   -12.67     14.42    19.20     5 
2280640845   -5.76210    -56.07082   -12.48     14.34    19.01     5 
2280640958   -5.77005    -55.70020   -16.08    -11.61    19.83     5 
2280640999   -5.77940    -56.03178   -12.72    -13.00    18.19     5 
2280641014   -5.77913    -55.88548    -9.43     -4.25    10.34     5 
2280641026   -5.77889    -55.76844     7.95     -3.29     8.60     5 
2280641078   -5.78801    -55.99275    -5.68     -3.53     6.69     5 
2280641088   -5.78783    -55.89521     9.22     -4.49    10.25     5 
2280641089   -5.78781    -55.88546   -10.72     -3.91    11.41     5 
2280641107   -5.78744    -55.70991    -6.26     -8.67    10.70     5 
2280641171   -5.79636    -55.81717     3.87      5.66     6.86     5 
2280641179   -5.79619    -55.73915   -10.32     -6.08    11.98     5 
2280641180   -5.79617    -55.72939   -10.53     -5.71    11.98     5 
2280641181   -5.79615    -55.71964   -11.29     -3.29    11.76     5 
2280641182   -5.79612    -55.70989    -5.37     -7.65     9.35     5 
2280641211   -5.80565    -56.15854    13.10     13.30    18.66     5 
2280641244   -5.80508    -55.83666    16.68      7.96    18.48     5 
2280641245   -5.80506    -55.82691    10.17      6.43    12.04     5 
2280641246   -5.80504    -55.81715    10.32      6.06    11.97     5 
2280641254   -5.80487    -55.73913   -11.64     -6.35    13.26     5 
2280641294   -5.81421    -56.08049    -7.56     16.22    17.89     5 
2280641320   -5.81374    -55.82689    13.67      7.04    15.37     5 
2280641321   -5.81372    -55.81713    15.16      4.75    15.89     5 
2280641324   -5.81366    -55.78787    -4.32      0.74     4.39     5 
2280641329   -5.81355    -55.73911    -6.39     -2.40     6.82     5 
2280641374   -5.82281    -56.03170    -3.71    -19.38    19.74     5 
2280641392   -5.82249    -55.85613   -12.52     -5.72    13.76     5 
2280641404   -5.82224    -55.73909    -4.18     -5.29     6.74     5 
2280641405   -5.82221    -55.72933    -4.88     -3.55     6.03     5 
2280641438   -5.83167    -56.13899    13.30      5.11    14.25     5 
2280641458   -5.83134    -55.94390     4.74    -16.59    17.26     5 
2280641467   -5.83117    -55.85611   -17.29      4.09    17.77     5 
2280641513   -5.84035    -56.13898     8.67      5.24    10.13     5 
2280641588   -5.84904    -56.13896    -1.56     -1.22     1.98     3 
2280641604   -5.84878    -55.98289    -3.70     -6.35     7.35     5 
2280641605   -5.84876    -55.97313    -3.84     -4.87     6.20     5 
2280641620   -5.84847    -55.82682     4.71     -3.68     5.98     5 
