Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Mon. May. 11 2015                  TERRA_ASTER                       Time: 20:25
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -2.884 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  0.0%
Rank   3 -- 100.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640327   -5.64637    -56.38063    -1.08      0.93     1.42     3 
2280640400   -5.65507    -56.40012    -1.08      1.03     1.50     3 
2280640401   -5.65506    -56.39037    -1.01      0.96     1.40     3 
2280640402   -5.65505    -56.38062    -1.05      0.97     1.42     3 
2280640477   -5.66374    -56.38061    -1.20      0.98     1.55     3 
2280640482   -5.66368    -56.33185    -0.97      1.09     1.46     3 
2280640483   -5.66367    -56.32209    -1.08      1.01     1.47     3 
2280640484   -5.66366    -56.31234    -1.09      1.01     1.49     3 
2280640485   -5.66365    -56.30259    -1.10      1.02     1.50     3 
2280640486   -5.66364    -56.29284    -0.97      0.96     1.37     3 
2280640490   -5.66359    -56.25383    -1.10      1.03     1.51     3 
2280640491   -5.66357    -56.24408    -1.12      1.12     1.58     3 
2280640492   -5.66356    -56.23432    -1.07      1.05     1.50     3 
2280640540   -5.67253    -56.49763    -0.86      1.08     1.38     3 
2280640541   -5.67253    -56.48788    -0.95      0.80     1.24     3 
2280640542   -5.67252    -56.47812    -0.95      0.75     1.21     3 
2280640543   -5.67251    -56.46837    -1.00      0.77     1.26     3 
2280640552   -5.67242    -56.38060    -1.15      0.97     1.50     3 
2280640559   -5.67234    -56.31233    -1.08      1.00     1.47     3 
2280640560   -5.67233    -56.30258    -1.07      0.97     1.45     3 
2280640561   -5.67232    -56.29283    -1.06      0.94     1.42     3 
2280640570   -5.67220    -56.20506    -1.06      1.13     1.55     3 
2280640571   -5.67219    -56.19530    -1.01      0.98     1.41     3 
2280640572   -5.67218    -56.18555    -1.04      1.04     1.48     3 
2280640574   -5.67215    -56.16605    -0.98      1.16     1.52     3 
2280640616   -5.68121    -56.48787    -0.93      0.83     1.24     3 
2280640617   -5.68120    -56.47812    -0.99      0.78     1.26     3 
2280640618   -5.68119    -56.46836    -1.01      0.72     1.24     3 
2280640621   -5.68116    -56.43910    -0.96      0.73     1.20     3 
2280640622   -5.68115    -56.42935    -1.00      0.77     1.26     3 
2280640646   -5.68088    -56.19529    -1.01      1.00     1.43     3 
2280640650   -5.68082    -56.15628    -1.06      1.16     1.57     3 
2280640653   -5.68078    -56.12703    -0.97      1.16     1.51     3 
2280640693   -5.68987    -56.46836    -1.06      0.84     1.35     3 
2280640721   -5.68956    -56.19528    -0.89      1.00     1.34     3 
2280640725   -5.68950    -56.15627    -1.03      1.16     1.55     3 
2280640729   -5.68945    -56.11726    -0.96      1.09     1.45     3 
2280640730   -5.68943    -56.10751    -0.92      1.08     1.42     3 
2280640784   -5.69839    -56.31230    -1.23      0.83     1.48     3 
2280640785   -5.69838    -56.30255    -1.11      0.82     1.38     3 
2280640786   -5.69837    -56.29279    -1.05      0.92     1.39     3 
2280640787   -5.69836    -56.28304    -1.09      1.01     1.48     3 
2280640795   -5.69826    -56.20502    -0.93      0.91     1.30     3 
2280640796   -5.69824    -56.19527    -1.02      0.97     1.40     3 
2280640800   -5.69819    -56.15626    -1.07      1.14     1.56     3 
2280640801   -5.69817    -56.14650    -0.96      1.13     1.48     3 
2280640804   -5.69813    -56.11725    -0.98      1.09     1.46     3 
