Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. Apr. 26 2015                  TERRA_ASTER                       Time: 17:20
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:   8.589 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 --  1.4%
Rank   3 --  5.5%
Rank   4 --  0.7%
Rank   5 -- 92.5%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280640016   -5.95599    -56.36240    -4.10     19.47    19.89     5 
2280640400   -5.99930    -56.27453    13.48      7.46    15.41     5 
2280640474   -6.00799    -56.28427     0.56     16.33    16.34     5 
2280640475   -6.00798    -56.27452    -0.89      4.66     4.75     5 
2280640489   -6.00778    -56.13790   -13.12    -13.10    18.54     5 
2280640622   -6.02539    -56.30377   -14.45      7.36    16.21     5 
2280640626   -6.02534    -56.26473   -11.58      2.35    11.81     5 
2280640641   -6.02512    -56.11836    -0.83    -16.69    16.71     5 
2280640728   -6.03360    -56.00125    -8.33     15.88    17.93     5 
2280640796   -6.04240    -56.06954    16.62      4.12    17.12     5 
2280640797   -6.04239    -56.05978    14.30     -5.72    15.40     5 
2280640810   -6.04215    -55.93293   -11.50     -4.41    12.31     5 
2280640819   -6.04197    -55.84511    -0.75     -0.09     0.75     2 
2280640864   -6.05120    -56.13783    12.02     -8.50    14.72     5 
2280640947   -6.05975    -56.05975   -16.82     -9.91    19.52     5 
2280641009   -6.06864    -56.18660     8.63     10.85    13.86     5 
2280641090   -6.07723    -56.12803    -2.79      9.62    10.01     5 
2280641091   -6.07722    -56.11827    -3.79     13.16    13.70     5 
2280641115   -6.07679    -55.88407   -13.65    -14.28    19.75     5 
2280641195   -6.08537    -55.83526     3.83     -2.46     4.55     5 
2280641268   -6.09409    -55.85475   -11.50     -0.38    11.51     5 
2280641269   -6.09407    -55.84500   -11.93      0.51    11.94     5 
2280641370   -6.11225    -56.32318    10.86     11.47    15.79     5 
2280641406   -6.11169    -55.97183     3.41      4.16     5.38     5 
2280641417   -6.11148    -55.86448    -3.59      4.96     6.12     5 
2280641418   -6.11146    -55.85472    -3.65      4.40     5.72     5 
2280641443   -6.12096    -56.34269   -14.13      3.58    14.58     5 
2280641444   -6.12095    -56.33293   -15.29      5.97    16.41     5 
2280641445   -6.12093    -56.32317    11.11      3.98    11.80     5 
2280641481   -6.12038    -55.97181    14.01     -0.76    14.03     5 
2280641492   -6.12016    -55.86446     3.60      4.70     5.92     5 
2280641493   -6.12014    -55.85470     1.80      4.93     5.25     5 
2280641496   -6.12007    -55.82542    -4.16     10.30    11.11     5 
2280641497   -6.12005    -55.81566    -3.66      3.90     5.35     5 
2280641629   -6.13778    -55.99130     9.97    -11.84    15.48     5 
2280641635   -6.13767    -55.93274     6.19      2.11     6.54     5 
2280641676   -6.14691    -56.26457   -11.06    -15.91    19.38     5 
2280641699   -6.14655    -56.04008     8.91     12.26    15.15     5 
2280641703   -6.14648    -56.00104     2.11    -17.24    17.37     5 
2280641722   -6.14610    -55.81561    -3.20     -3.77     4.95     5 
2280641764   -6.15540    -56.13767    -4.05     13.80    14.38     5 
2280641793   -6.15487    -55.85463    11.42      5.99    12.89     5 
2280641818   -6.16438    -56.34263    18.20     -8.16    19.95     5 
2280641871   -6.16349    -55.82533    -0.77      0.20     0.80     2 
2280641889   -6.17311    -56.38167    12.47      5.97    13.82     5 
2280641890   -6.17310    -56.37190    13.45      7.09    15.20     5 
2280641927   -6.17255    -56.01075    -9.35     -1.77     9.51     5 
