k,d_med_m,delta_d,rel_delta,diff_to_500,abs_diff_500,ratio_to_500
1,77.0,,,-423.0,423.0,0.154
2,77.0032466163569,0.003246616356904,4.2163848790961584e-05,-422.9967533836431,422.9967533836431,0.1540064932327138
3,77.02596964660685,0.0227230302499492,0.0002950918467523,-422.9740303533931,422.9740303533931,0.1540519392932137
4,115.05382359581756,38.02785394921069,0.4937017232458286,-384.9461764041824,384.9461764041824,0.2301076471916351
5,153.0294089382822,37.97558534246464,0.3300679990946875,-346.9705910617178,346.9705910617178,0.3060588178765643
6,154.00162335951106,0.9722144212288696,0.0063531214553731,-345.9983766404889,345.9983766404889,0.3080032467190221
7,154.0811474515945,0.0795240920834317,0.0005163847649695,-345.91885254840554,345.91885254840554,0.3081622949031889
8,192.0162754253604,37.9351279737659,0.2462022680982658,-307.9837245746396,307.9837245746396,0.3840325508507208
9,230.0021739027699,37.98589847740951,0.1978264519154012,-269.99782609723013,269.99782609723013,0.4600043478055398
10,230.62696427110544,0.6247903683355673,0.0027164541870795,-269.37303572889454,269.37303572889454,0.4612539285422109
11,232.0086205294967,1.3816562583912455,0.0059908704203689,-267.99137947050326,267.99137947050326,0.4640172410589934
12,269.0018965760994,36.99327604660269,0.1594478513866233,-230.9981034239006,230.9981034239006,0.5380037931521988
13,306.00653587791226,37.00463930181286,0.1375627449947901,-193.99346412208772,193.99346412208772,0.6120130717558245
14,307.5527963556914,1.5462604777791285,0.00505303088819,-192.44720364430864,192.44720364430864,0.6151055927113828
15,309.16176995223714,1.608973596545752,0.0052315362292623,-190.8382300477629,190.8382300477629,0.6183235399044743
16,345.5547573667117,36.39298741447459,0.1177150312604854,-154.44524263328827,154.44524263328827,0.6911095147334234
17,382.0052355662158,36.45047819950406,0.1054839426239525,-117.9947644337842,117.9947644337842,0.7640104711324316
18,384.5241449202552,2.5189093540393515,0.0065939131706029,-115.47585507974486,115.47585507974486,0.7690482898405103
19,387.04650883324086,2.5223639129857247,0.0065597022873786,-112.95349116675914,112.95349116675914,0.7740930176664818
20,422.0011930390508,34.95468420580988,0.0903113279878985,-77.99880696094925,77.99880696094925,0.8440023860781015
21,456.0394719758368,34.038278936786014,0.0806592007279851,-43.96052802416324,43.96052802416324,0.9120789439516735
22,459.5108883342703,3.471416358433544,0.0076120962586709,-40.489111665729695,40.489111665729695,0.9190217766685406
23,463.0097191204521,3.498830786181827,0.0076142500101904,-36.99028087954787,36.99028087954787,0.9260194382409044
24,474.67082290197385,11.661103781521716,0.0251854406073235,-25.32917709802615,25.32917709802615,0.9493416458039478
25,487.1190819501942,12.448259048220336,0.0262250352193883,-12.880918049805814,12.880918049805814,0.9742381639003884
26,488.91819351525055,1.7991115650563645,0.0036933711523957,-11.08180648474945,11.08180648474945,0.9778363870305012
27,490.7647094076753,1.846515892424748,0.0037767379429032,-9.235290592324702,9.235290592324702,0.9815294188153506
28,493.3176104628508,2.5529010551754823,0.0052018839297892,-6.68238953714922,6.68238953714922,0.9866352209257016
29,496.0040322416744,2.6864217788236147,0.0054456231073995,-3.995967758325605,3.995967758325605,0.9920080644833488
30,498.7791375497257,2.775105308051309,0.0055949248950846,-1.2208624502742964,1.2208624502742964,0.9975582750994514
31,501.5665459338372,2.7874083841114725,0.0055884622556683,1.566545933837176,1.566545933837176,1.0031330918676744
32,504.270203028909,2.703657095071833,0.0053904254918717,4.270203028909009,4.270203028909009,1.008540406057818
33,507.02465423290806,2.7544512039990536,0.0054622525532033,7.024654232908063,7.024654232908063,1.0140493084658162
34,509.51781861682906,2.4931643839209983,0.0049172448777524,9.51781861682906,9.51781861682906,1.0190356372336582
35,512.0351550430888,2.51733642625976,0.0049406249090433,12.03515504308882,12.03515504308882,1.0240703100861777
36,514.3117161466631,2.276561103574295,0.0044461031262252,14.311716146663116,14.311716146663116,1.0286234322933263
37,516.6120401229534,2.300323976290315,0.0044726260438413,16.61204012295343,16.61204012295343,1.033224080245907
38,518.8340077098376,2.221967586884148,0.0043010371697015,18.83400770983758,18.83400770983758,1.0376680154196751
39,521.0614167255143,2.227409015676699,0.0042931052756325,21.06141672551428,21.06141672551428,1.0421228334510286
40,523.3860864516193,2.3246697261050717,0.0044614121320168,23.38608645161935,23.38608645161935,1.0467721729032389
41,525.6814624846495,2.295376033030152,0.0043856267723737,25.6814624846495,25.6814624846495,1.051362924969299
42,528.1309954603464,2.4495329756969118,0.0046597286579578,28.13099546034641,28.13099546034641,1.0562619909206927
43,530.5487724988157,2.4177770384692394,0.0045779873918624,30.54877249881565,30.54877249881565,1.0610975449976312
44,533.0894575401442,2.540685041328516,0.0047887869561213,33.08945754014417,33.08945754014417,1.0661789150802885
45,535.6089991775717,2.519541637427551,0.0047263017525305,35.60899917757172,35.60899917757172,1.0712179983551435
46,538.2203973029857,2.6113981254139844,0.0048755680532324,38.2203973029857,38.2203973029857,1.0764407946059713
47,540.8484075968053,2.628010293819557,0.0048827772172672,40.84840759680526,40.84840759680526,1.0816968151936106
48,543.5133303423381,2.664922745532863,0.0049273007151377,43.51333034233812,43.51333034233812,1.0870266606846763
49,546.1547399776001,2.6414096352619936,0.0048598801313636,46.15473997760012,46.15473997760012,1.0923094799552002
50,549.0860526444342,2.93131266683406,0.0053671834230611,49.086052644434176,49.086052644434176,1.0981721052888684
51,552.0081521137165,2.9220994692823297,0.0053217513998203,52.008152113716505,52.008152113716505,1.104016304227433
52,555.1422270361613,3.134074922444825,0.0056775881125016,55.14222703616133,55.14222703616133,1.110284454072323
53,558.2732305959153,3.1310035597539354,0.0056400025205612,58.27323059591527,58.27323059591527,1.1165464611918303
54,561.8896793035137,3.616448707598465,0.0064779188924,61.88967930351373,61.88967930351373,1.1237793586070275
55,565.3715592422385,3.4818799387247736,0.0061967323248234,65.3715592422385,65.3715592422385,1.130743118484477
56,569.3340955592616,3.9625363170231367,0.0070087294846137,69.33409555926164,69.33409555926164,1.1386681911185232
57,573.1605359757422,3.826440416480523,0.0067209050824925,73.16053597574216,73.16053597574216,1.1463210719514842
58,577.37612317095,4.215587195207831,0.0073549850881328,77.37612317095,77.37612317095,1.1547522463419
59,581.4000343997238,4.023911228773841,0.0069693066049813,81.40003439972384,81.40003439972384,1.1628000687994478
60,585.8094821434254,4.4094477437015485,0.0075841889969169,85.80948214342538,85.80948214342538,1.1716189642868509
61,590.0076270693456,4.198144925920246,0.0071663997492147,90.00762706934563,90.00762706934563,1.1800152541386912
62,594.4121203793395,4.404493309993882,0.0074651463945841,94.41212037933953,94.41212037933953,1.188824240758679
63,598.5323717226997,4.120251343360224,0.0069316408634648,98.53237172269974,98.53237172269974,1.1970647434453994
64,602.782890678072,4.250518955372286,0.0071015690314935,102.78289067807202,102.78289067807202,1.205565781356144
65,606.8451202736989,4.062229595626832,0.0067391255764695,106.84512027369884,106.84512027369884,1.2136902405473975
66,610.7402474145639,3.8951271408650423,0.0064186511693597,110.7402474145639,110.7402474145639,1.2214804948291278
67,614.5640731445338,3.82382572996994,0.0062609689571913,114.56407314453384,114.56407314453384,1.2291281462890675
68,618.4072269986224,3.843153854088541,0.0062534632628691,118.40722699862238,118.40722699862238,1.2368144539972448
